acronym,id,parent_structure_id
SIM,10674,1007
SIM,10673,1007
SIM,10672,1007
AN,1017,1017
AN,1056,1017
AN,10677,1017
AN,10676,1017
AN,10675,1017
AN,1064,1017
AN,10680,1017
AN,10679,1017
AN,10678,1017
PRM,1025,1025
PRM,10683,1025
PRM,10682,1025
PRM,10681,1025
COPY,1033,1033
COPY,10686,1033
COPY,10685,1033
COPY,10684,1033
PFL,1041,1041
PFL,10689,1041
PFL,10688,1041
PFL,10687,1041
FL,1049,1049
FL,10692,1049
FL,10691,1049
FL,10690,1049
CBXmo,1144,528
CBXpu,1145,528
CBXgr,1143,528
CBN,519,512
FN,989,989
IP,91,91
DN,846,846
fiber tracts,1009,997
cm,967,1009
tn,885,967
von,949,967
In,840,967
onl,1016,840
lotg,21,840
lot,665,21
lotd,538,21
aolt,459,21
aco,900,840
IIn,848,967
aot,876,848
bsc,916,848
csc,336,848
och,117,848
opt,125,848
ttp,357,848
III,832,35
mlf,62,832
pc,158,832
IV,911,115
IV,384,115
VIn,710,967
Vn,901,967
moV,93,901
sV,229,901
mtV,705,229
sptV,794,229
VIIn,798,967
iVIIn,1131,798
gVIIn,1116,798
III,933,35
cvb,1076,933
III,413,35
III,948,35
tb,841,948
ias,641,948
das,506,948
ll,658,948
cic,633,948
bic,482,948
IXn,808,967
Xn,917,967
ts,237,917
XIn,717,967
XII,813,773
vrt,925,967
drt,792,967
cett,932,792
dl,570,932
dcm,522,932
vc,858,932
fpr,586,932
dc,514,932
cuf,380,514
grf,388,514
iaf,396,514
ml,697,932
sst,871,967
sttl,29,871
sttv,389,871
scrt,245,871
sop,261,871
srp,270,871
svp,293,871
stp,277,871
shp,253,871
step,285,871
hht,627,285
cbf,960,1009
cbc,744,960
cbp,752,960
scp,326,752
dscp,812,326
sct,85,812
uf,850,326
sctv,866,326
mcp,78,752
icp,1123,752
sctd,553,1123
cct,499,1123
jrb,650,1123
bct,490,1123
oct,404,490
rct,410,490
tct,373,752
arb,728,960
scwm,484682512,1009
lfbs,983,1009
cc,776,983
fa,956,776
ec,579,956
ee,964,776
ccg,1108,776
fp,971,776
ccr,979,776
ccb,484682516,776
ccs,986,776
cst,784,983
int,6,784
cpd,924,784
cte,1036,784
crt,1012,784
cpt,1003,784
cbt,994,784
py,190,784
pyd,198,784
cstc,1019,784
cstu,1028,784
lfbst,896,983
em,1092,896
im,14,896
mtc,86,896
